date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,13,10.4,16.2,5.4,,193,22.8,,1013.1,
2023-01-02,9.8,6.5,13.5,8,,223,15.8,,1017.2,
2023-01-03,6.8,3.9,8.9,0.1,,188,17.9,,1026.2,
2023-01-04,11.2,8.2,12.4,4.8,,220,27,,1018.7,
2023-01-05,10.7,9.7,11.4,1.3,,237,14.9,,1021.2,
2023-01-06,10.6,10.1,11.2,1,,210,20,,1018.6,
2023-01-07,10.2,9,11.6,1,,182,23,,1010.5,
2023-01-08,8.2,6.1,10.1,7.4,,195,19.2,,1000.3,
2023-01-09,6.3,4.6,7.7,2.8,,229,18.6,,1001.1,
2023-01-10,5.8,3.2,10.1,3.5,,201,19.2,,1015.3,
2023-01-11,10,8.8,11.4,9.2,,225,22.8,,1011.7,
2023-01-12,9.6,8.1,11.1,12.7,,216,33.2,,1008.9,
2023-01-13,8.3,7.2,9.9,0,,234,21.5,,1010.4,
2023-01-14,8.7,6.1,11.4,9.9,,206,26.3,,1006.7,
2023-01-15,5.9,4.9,7.7,7.5,,220,23.9,,1002,
2023-01-16,4.3,2.6,5.5,11.2,,201,20.6,,984.6,
2023-01-17,0.2,-2,4.6,0.3,,212,6.9,,988.9,
2023-01-18,0.2,-3.3,3.9,0,,220,11.4,,997.4,
2023-01-19,0.7,-0.5,2.7,0,,228,10.2,,1007.2,
2023-01-20,1.2,-0.5,4.3,7.1,,237,12.6,,1015.3,
2023-01-21,-0.8,-2.1,1,0,,42,12.4,,1030.6,
2023-01-22,-0.5,-1.5,0.3,0,,18,12.7,,1033.7,
2023-01-23,1.6,0.1,2.7,0,,47,12,,1036.3,
2023-01-24,1.4,-1.6,1.9,0,,64,10.4,,1038,
2023-01-25,-1,-1.9,0.2,0,,163,5.9,,1033.6,
2023-01-26,2.4,-1.9,6,2.8,,330,9.6,,1025.5,
2023-01-27,4,3,5.2,0,,23,15,,1026.8,
2023-01-28,1.5,-3.1,3.4,0,,35,8.3,,1030.8,
2023-01-29,0.1,-3.5,3.2,0,,211,10.6,,1028.6,
2023-01-30,6.2,2.1,8.4,0.8,,264,16.2,,1022.9,
2023-01-31,5,2.1,7.5,0.8,,235,13,,1025.2,
2023-02-01,6.8,3.7,9.5,0,,251,16.7,,1023.6,
2023-02-02,8.2,6.6,10.5,0.3,,252,14.9,,1026.8,
2023-02-03,9.3,8.5,10.5,0.3,,257,15.2,,1030.1,
2023-02-04,8.8,6.5,10,3.3,,294,8.2,,1036.5,
2023-02-05,6.7,2.1,8.3,0.8,,324,14.9,,1040.4,
2023-02-06,3.9,0.7,6.7,0,,50,9.3,,1041.9,
2023-02-07,1.2,-2.1,6.8,0,,77,8.3,,1039.3,
2023-02-08,1.5,-3.1,8.8,0,,125,7.4,,1036.5,
2023-02-09,2.3,-1.7,5.7,0,,207,10.2,,1033.6,
2023-02-10,3.8,0.2,6.4,0,,210,10.4,,1037.8,
2023-02-11,6.6,4.8,7.8,0,,234,7.4,,1037,
2023-02-12,6.9,5.6,7.9,0,,37,5.4,,1038.7,
2023-02-13,6.1,0.8,13.5,0,,124,6.6,,1036.1,
2023-02-14,6.5,1.6,13.9,0,,155,6.3,,1032.9,
2023-02-15,7.1,2.1,12.4,0,,183,10.4,,1026.7,
2023-02-16,8.6,4.4,11.8,0.5,,204,14.9,,1023.9,
2023-02-17,10.7,9.7,13,0.5,,233,19.4,,1023,
2023-02-18,9.9,9.2,11,1.5,,239,21.2,,1022.7,
2023-02-19,8.7,4.8,10.1,0,,261,14.4,,1025.2,
2023-02-20,6.9,4.7,8.3,0,,232,14.9,,1025.6,
2023-02-21,5.4,3.5,7,0,,205,8.3,,1020.1,
2023-02-22,6.7,2.5,10.3,0.5,,181,10.4,,1013,
2023-02-23,7.9,6.2,9.4,3.6,,339,7.4,,1015.4,
2023-02-24,4.9,2.4,7,0.5,,304,11.4,,1011.8,
2023-02-25,3.9,1.9,6.9,0.8,,337,12.9,,1012.8,
2023-02-26,1.8,-0.7,4.5,0,,31,15.5,,1023.5,
2023-02-27,1.5,-1.9,5.9,0,,46,14.4,,1029.2,
2023-02-28,1.6,-1.5,5.2,0,,55,12,,1030.4,
2023-03-01,2,-3.3,6.5,0,,42,13.5,,1027.3,
