"","date","time","from","to","vehicle","OD","Type","occupancy_numeric"
"1","2016-07-27","11:41:46 PM","008812005","008822004","IC4520","008812005/008822004","IC",2
"2","2016-07-28","12:04:25 AM","008831765","008831765","IC1532","008831765/008831765","IC",0
"3","2016-07-28","12:18:09 AM","008831765","008813003","IC1532","008831765/008813003","IC",0
"4","2016-07-28","12:38:28 AM","008819406","008812005","IC3628","008819406/008812005","IC",2
"5","2016-07-28","08:50:27 AM","008892007","008813003","IC1507","008892007/008813003","IC",1
"6","2016-07-28","09:15:50 AM","008812211","008813003","S102080","008812211/008813003","S",0
"7","2016-07-28","09:36:02 AM","008892007","008814001","IC508","008892007/008814001","IC",1
"8","2016-07-28","09:36:31 AM","008892007","008814001","IC508","008892007/008814001","IC",1
"9","2016-07-28","10:04:57 AM","008814001","008892007","ICT6802","008814001/008892007","ICT",0
"10","2016-07-28","10:12:11 AM","008814001","008892007","ICT6802","008814001/008892007","ICT",0
"11","2016-07-28","10:30:23 AM","008892007","008814001","IC508","008892007/008814001","IC",1
"12","2016-07-28","10:31:15 AM","008892007","008814001","IC2808","008892007/008814001","IC",1
"13","2016-07-28","10:31:57 AM","008892007","008814001","IC3608","008892007/008814001","IC",0
"14","2016-07-28","10:33:05 AM","008892007","008814001","IC2808","008892007/008814001","IC",1
"15","2016-07-28","10:59:01 AM","008821006","008814001","IC3131","008821006/008814001","IC",2
"16","2016-07-28","11:10:47 AM","008821006","008814001","THA9322","008821006/008814001","THA",2
"17","2016-07-28","01:16:06 PM","008892007","008814001","P7009","008892007/008814001","P",2
"18","2016-07-28","01:17:09 PM","008892007","008814001","P7009","008892007/008814001","P",2
"19","2016-07-28","03:06:29 PM","008891140","008892007","L564","008891140/008892007","L",0
"20","2016-07-28","03:33:06 PM","008821006","008814001","IC9240","008821006/008814001","IC",2
"21","2016-07-28","03:33:26 PM","008821006","008814001","IC9240","008821006/008814001","IC",2
"22","2016-07-28","03:33:30 PM","008821006","008814001","IC9240","008821006/008814001","IC",2
"23","2016-07-28","03:33:34 PM","008821006","008814001","IC9240","008821006/008814001","IC",2
"24","2016-07-28","04:44:52 PM","008813003","008892007","IC1538","008813003/008892007","IC",1
"25","2016-07-28","05:53:40 PM","008833001","008813003","IC1739","008833001/008813003","IC",1
"26","2016-07-28","07:12:04 PM","008813003","008892007","IC540","008813003/008892007","IC",0
"27","2016-07-28","08:17:09 PM","008894201","008892007","IC719","008894201/008892007","IC",0
"28","2016-07-28","08:26:52 PM","008812005","008831765","IC1518","008812005/008831765","IC",0
"29","2016-07-28","08:34:57 PM","008813003","008833001","IC515","008813003/008833001","IC",1
"30","2016-07-28","08:46:18 PM","008892007","008891140","L591","008892007/008891140","L",0
"31","2016-07-28","08:48:59 PM","008812005","008831765","IC1518","008812005/008831765","IC",0
"32","2016-07-28","08:50:00 PM","008812005","008831765","IC1518","008812005/008831765","IC",0
"33","2016-07-28","08:51:01 PM","008812005","008831765","IC1518","008812005/008831765","IC",0
"34","2016-07-28","09:10:11 PM","008812005","008831765","IC1518","008812005/008831765","IC",0
"35","2016-07-28","09:15:16 PM","008833001","008831765","IC1518","008833001/008831765","IC",0
