URI,name,alternative-fr,alternative-nl,alternative-de,alternative-en,country-code,longitude,latitude,avg_stop_times,Weekday,Saturday,Sunday,Total
http://irail.be/stations/NMBS/008895000,Aalst,Alost,,,,be,4.039653,50.942813,88.26300578,5827,2271,1942,33348
http://irail.be/stations/NMBS/008895125,Aalst-Kerrebroek,,,,,be,4.024407,50.948377,7.297687861,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008891140,Aalter,,,,,be,3.447848,51.092295,78.48843931,2021,794,807,11706
http://irail.be/stations/NMBS/008833209,Aarschot,,,,,be,4.824043,50.984406,123.800578,5240,2269,2038,30507
http://irail.be/stations/NMBS/008892288,Aarsele,,,,,be,3.418363,50.98446,2.476878613,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008886546,Acren,,Akren,,,be,3.847086,50.733095,27.1416185,231,93,113,1361
http://irail.be/stations/NMBS/008874583,Aiseau,,,,,be,4.584552,50.429529,16.47398844,157,31,41,857
http://irail.be/stations/NMBS/008831039,Alken,,,,,be,5.292866,50.886837,37.95375723,609,231,222,3498
http://irail.be/stations/NMBS/008843331,Amay,,,,,be,5.32049,50.546011,21.65317919,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008843323,Ampsin,,,,,be,5.289729,50.539215,21.65317919,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008863404,Andenne,,,,,be,5.094699,50.496759,55.0433526,1651,305,333,8893
http://irail.be/stations/NMBS/008842002,Angleur,,,,,be,5.599695,50.613152,87.1300578,878,163,181,4734
http://irail.be/stations/NMBS/008841202,Ans,,,,,be,5.509704,50.661208,53.23988439,1639,169,130,8494
http://irail.be/stations/NMBS/008863818,Anseremme,,,,,be,4.90553,50.238023,18.15606936,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008885522,Antoing,,,,,be,3.451309,50.569626,31.72543353,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008821121,Antwerpen-Berchem,Anvers-Berchem,,,Antwerp-Berchem,be,4.432221,51.19923,421.6445087,14747,11372,10689,95796
http://irail.be/stations/NMBS/008821006,Antwerpen-Centraal,Anvers-Central,,,Antwerp-Central,be,4.421101,51.2172,467.982659,37591,25163,21350,234468
http://irail.be/stations/NMBS/008821048,Antwerpen-Haven,Anvers-Haven,,,Antwerp-Haven,be,4.379086,51.289968,0,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008821063,Antwerpen-Luchtbal,Anvers-Luchtbal,,,Antwerp-Luchtbal,be,4.425029,51.244132,48.54046243,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008821089,Antwerpen-Noorderdokken,Anvers-Noorderdokken,,,Antwerp-Noorderdokken,be,4.427906,51.261643,22.24277457,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008821022,Antwerpen-Oost,Anvers-Est,,,Antwerp-East,be,4.436392,51.207357,0,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008821196,Antwerpen-Zuid,Anvers-Sud,,,Antwerp-South,be,4.390259,51.197828,71.19364162,3338,658,808,18156
http://irail.be/stations/NMBS/008892734,Anzegem,,,,,be,3.495014,50.826385,22.65028902,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008895745,Appelterre,,,,,be,3.972108,50.813063,26.86416185,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008811759,Archennes,,Eerken,,,be,4.662444,50.754345,49.89595376,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008866001,Arlon,,Aarlen,Arel,,be,5.809971,49.68053,85.71387283,5294,1441,3285,31196
http://irail.be/stations/NMBS/008812070,Asse,,,,,be,4.207985,50.906488,38.58959538,1223,173,161,6449
http://irail.be/stations/NMBS/008864931,Assesse,,,,,be,5.022839,50.368133,27.20520231,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008886009,Ath,,Aat,,,be,3.777429,50.626932,66.29479769,4287,2385,2455,26275
http://irail.be/stations/NMBS/008866605,Athus,,,Athem,,be,5.828947,49.563346,93.33815029,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008866654,Aubange,,,,,be,5.79806,49.564093,18,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008874716,Auvelais,,,,,be,4.630532,50.449197,37.87283237,562,261,220,3291
http://irail.be/stations/NMBS/008864352,Aye,,,,,be,5.301091,50.224135,19.11271676,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008842754,Aywaille,,,,,be,5.672499,50.472938,20.53757225,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008822160,Baasrode-Zuid,Baesrode-Sud,,,,be,4.153492,51.019437,17.02023121,195,0,0,975
http://irail.be/stations/NMBS/008895257,Balegem-Dorp,,,,,be,3.791425,50.919612,26.70809249,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008895240,Balegem-Zuid,,,,,be,3.80587,50.90051,20.17630058,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008832045,Balen,Baelen,,,,be,5.164986,51.169099,28.39306358,257,128,100,1513
http://irail.be/stations/NMBS/008895463,Bambrugge,,,,,be,3.935711,50.913769,7.297687861,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008864451,Barvaux,,,,,be,5.501542,50.349417,25.34682081,523,104,138,2857
http://irail.be/stations/NMBS/008843430,Bas-Oha,,,,,be,5.190937,50.52263,24.32080925,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008811734,Basse-Wavre,,,,,be,4.621651,50.72442,50.13872832,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008865128,Bastogne-Nord,,Bastenaken-Noord,,,be,5.720744,50.006919,0,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008865110,Bastogne-Sud,,Bastenaken-Zuid,,,be,5.709858,49.999737,0,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008863867,Beauraing,,,,,be,4.95684,50.11443,16.17630058,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008891124,Beernem,,,,,be,3.329892,51.128009,29.76589595,647,137,166,3538
http://irail.be/stations/NMBS/008814423,Beersel,,,,,be,4.302605,50.766616,37.74277457,270,82,89,1521
http://irail.be/stations/NMBS/008894151,Beervelde,,,,,be,3.879384,51.08753,11.97398844,547,112,130,2977
http://irail.be/stations/NMBS/008821865,Begijnendijk,,,,,be,4.800338,51.021972,29.92196532,257,129,94,1508
http://irail.be/stations/NMBS/008871183,Beignée,,,,,be,4.406305,50.333893,10.28901734,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008891157,Bellem,,,,,be,3.487374,51.083908,25.86705202,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008894433,Belsele,,,,,be,4.088608,51.150994,39.11849711,277,90,98,1573
http://irail.be/stations/NMBS/008812211,Sint-Agatha-Berchem/Berchem-Sainte-Agathe,Berchem-Sainte-Agathe,Sint-Agatha-Berchem,,,be,4.289895,50.872625,39.12138728,1012,281,262,5603
http://irail.be/stations/NMBS/008832235,Beringen,,,,,be,5.235892,51.050603,28.39306358,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008821816,Berlaar,,,,,be,4.638811,51.113662,29.92196532,403,238,208,2461
http://irail.be/stations/NMBS/008865300,Bertrix,,,,,be,5.267193,49.852835,37.39017341,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008873320,Berzée,,,,,be,4.405909,50.285603,33.21676301,133,30,44,739
http://irail.be/stations/NMBS/008861424,Beuzet,,,,,be,4.748533,50.534208,30.82080925,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008894748,Beveren,,,,,be,4.25952,51.208336,48.20809249,1548,256,303,8299
http://irail.be/stations/NMBS/008832227,Beverlo,,,,,be,5.234373,51.087719,28.39306358,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008811718,Bierges-Walibi,,,,,be,4.594746,50.707772,56.02601156,187,929,687,2551
http://irail.be/stations/NMBS/008841319,Bierset-Awans,,,,,be,5.460551,50.65861,30.34682081,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008831138,Bilzen,,,,,be,5.50938,50.868643,49.94508671,680,216,313,3929
http://irail.be/stations/NMBS/008882362,Binche,,,,,be,4.172451,50.408764,26.71387283,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008896388,Bissegem,,,,,be,3.224205,50.825845,22.44508671,290,191,223,1864
http://irail.be/stations/NMBS/008891405,Blankenberge,,,,,be,3.133864,51.312432,21.41618497,1899,1704,2063,13262
http://irail.be/stations/NMBS/008861531,Blanmont,,,,,be,4.636393,50.619453,31.50867052,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008884715,Blaton,,,,,be,3.666304,50.505461,31.72543353,508,221,164,2925
http://irail.be/stations/NMBS/008841434,Bleret,,,,,be,5.286394,50.685065,21.08381503,#N/A,#N/A,#N/A,#N/A
http://irail.be/stations/NMBS/008812021,Bockstael,,,,,be,4.348513,50.87943,58.47398844,1120,256,231,6087
http://irail.be/stations/NMBS/008821634,Boechout,,,,,be,4.494489,51.16348,42.58092486,492,186,180,2826
http://irail.be/stations/NMBS/008811437,Bosvoorde/Boitsfort,Boitsfort,Bosvoorde,,,be,4.408112,50.794698,31.94797688,1077,261,208,5854
http://irail.be/stations/NMBS/008831781,Bokrijk,,,,,be,5.408386,50.955812,39.47687861,247,103,183,1521
http://irail.be/stations/NMBS/008864469,Bomal,,,,,be,5.519304,50.376798,25.34682081,201,153,100,1258
http://irail.be/stations/NMBS/008821857,Booischot,,,,,be,4.773478,51.037344,29.92196532,244,139,109,1468
