station,name
AALST,Aalst
AALTER,Aalter
AARSCHOT,Aarschot
ACREN,Acren
AISEAU,Aiseau
ALKEN,Alken
ANDENNE,Andenne
ANGLEUR,Angleur
ANS,Ans
ANTWERPEN-BERCHEM,Antwerpen-Berchem
ANTWERPEN-CENTRAAL,Antwerpen-Centraal
ANTWERPEN-ZUID,Antwerpen-Zuid
ARLON,Arlon
ASSE,Asse
ATH,Ath
AUVELAIS,Auvelais
BAASRODE-ZUID,Baasrode-Zuid
BALEN,Balen
BARVAUX,Barvaux
BEERNEM,Beernem
BEERSEL,Beersel
BEERVELDE,Beervelde
BEGIJNENDIJK,Begijnendijk
BELSELE,Belsele
BERLAAR,Berlaar
BERZEE,Berzée
BEVEREN(WAAS),Beveren
BIERGES-WALIBI,Bierges-Walibi
BILZEN,Bilzen
BISSEGEM,Bissegem
BLANKENBERGE,Blankenberge
BLATON,Blaton
BOCKSTAEL,Bockstael
BOECHOUT,Boechout
BOKRIJK,Bokrijk
BOMAL,Bomal
BOOISCHOT,Booischot
BOONDAAL,Boondaal/Boondael
BOORTMEERBEEK,Boortmeerbeek
BORDET,Bordet
BORNEM,Bornem
BOSVOORDE,Bosvoorde/Boitsfort
BOUSSU,Boussu
BRAINE-L'ALLEUD,Braine-l'Alleud
BRAINE-LE-COMTE,Braine-le-Comte
BRESSOUX,Bressoux
BRUGGE,Brugge
BRUGGE-SINT-PIETERS,Brugge-Sint-Pieters
BRUSSEL-CENTRAAL,Brussel-Centraal/Bruxelles-Central
BRUSSEL-CONGRES,Brussel-Congres/Bruxelles-Congrès
BRUSSEL-LUXEMBURG,Brussel-Luxemburg/Bruxelles-Luxembourg
BRUSSEL-NOORD,Brussel-Noord/Bruxelles-Nord
BRUSSELS AIRPORT - ZAVENTEM,Brussels Airport - Zaventem
BRUSSEL-SCHUMAN,Brussel-Schuman/Bruxelles-Schuman
BRUSSEL-WEST,Brussel-West/Bruxelles-Ouest
BRUSSEL-ZUID,Brussel-Zuid/Bruxelles-Midi
BUDA,Buda
BUGGENHOUT,Buggenhout
BUIZINGEN,Buizingen
BURST,Burst
CHARLEROI-SUD,Charleroi-Sud
CHASTRE,Chastre
CHATELET,Châtelet
CINEY,Ciney
DE HOEK,De Hoek
DE PINTE,De Pinte
DEINZE,Deinze
DELTA,Delta
DENDERLEEUW,Denderleeuw
DENDERMONDE,Dendermonde
DIEGEM,Diegem
DIEPENBEEK,Diepenbeek
DIESDELLE,Diesdelle/Vivier d'Oie
DIEST,Diest
DIKSMUIDE,Diksmuide
