Time,Temperature,Precipitation
2016/7/1,18,1.9
2016/7/2,16,1.1
2016/7/3,16,2.1
2016/7/4,18,0.3
2016/7/5,17,0.5
2016/7/6,18,0.1
2016/7/7,20,0
2016/7/8,21,0
2016/7/9,21,0.2
2016/7/10,24,1.4
2016/7/11,19,0.4
2016/7/12,18,1.4
2016/7/13,16,1
2016/7/14,17,1.1
2016/7/15,19,0.6
2016/7/16,21,0.2
2016/7/17,22,3.8
2016/7/18,21,0.4
2016/7/19,21,2.5
2016/7/20,20,1.8
2016/7/21,20,1.2
2016/7/22,21,0.8
2016/7/23,21,2
2016/7/24,21,1.6
2016/7/25,21,1.3
2016/7/26,21,1.9
2016/7/27,22,3.3
2016/7/28,20,0.3
2016/7/29,20,0.7
2016/7/30,19,0.9
2016/7/31,19,0.2
2016/8/1,19,0.8
2016/8/2,16,8.3
2016/8/3,18,9.4
2016/8/4,17,0.9
2016/8/5,19,1.1
2016/8/6,19,0.2
2016/8/7,21,0.1
2016/8/8,18,0.3
2016/8/9,16,0.9
2016/8/10,15,1.6
2016/8/11,14,2.9
2016/8/12,20,0.1
2016/8/13,20,0
2016/8/14,20,0.2
2016/8/15,19,0
2016/8/16,19,0
2016/8/17,21,0
2016/8/18,20,0.1
2016/8/19,20,1.6
2016/8/20,19,0.4
2016/8/21,16,1.7
2016/8/22,20,0.4
2016/8/23,24,0
2016/8/24,26,0
2016/8/25,28,0
2016/8/26,25,0
2016/8/27,26,0
2016/8/28,22,1.1
2016/8/29,19,0.8
2016/8/30,19,0
2016/8/31,21,0
2016/9/1,20,0.4
2016/9/2,19,0.1
2016/9/3,19,0
2016/9/4,18,3.9
2016/9/5,18,0.1
2016/9/6,20,0.1
2016/9/7,22,0
2016/9/8,22,0
2016/9/9,18,0
2016/9/10,21,0
2016/9/11,19,0.3
2016/9/12,24,0
2016/9/13,26,0
2016/9/14,25,0.1
2016/9/15,22,1.3
2016/9/16,18,0.1
2016/9/17,17,0.2
2016/9/18,18,0.1
2016/9/19,17,0
2016/9/20,16,0
2016/9/21,17,0.2
2016/9/22,17,0
2016/9/23,16,0.1
2016/9/24,19,0
2016/9/25,17,0.9
2016/9/26,14,0
2016/9/27,16,0
2016/9/28,19,0
2016/9/29,16,0.3
2016/9/30,15,0.3
2016/10/1,14,0.1
2016/10/2,12,0.6
2016/10/3,14,0.7
2016/10/4,13,0
2016/10/5,11,0
2016/10/6,9,0
2016/10/7,11,0.1
2016/10/8,11,0.2
2016/10/9,9,0
2016/10/10,10,0.3
2016/10/11,8,0
2016/10/12,9,0.2
2016/10/13,9,0
2016/10/14,11,5.2
2016/10/15,12,2.9
2016/10/16,15,0
2016/10/17,13,0.4
2016/10/18,10,0
2016/10/19,10,3.6
2016/10/20,11,0.6
2016/10/21,8,0
2016/10/22,9,0.1
2016/10/23,7,0.1
2016/10/24,10,1.5
2016/10/25,10,0
2016/10/26,9,0
2016/10/27,11,0
2016/10/28,12,0.1
2016/10/29,13,0
2016/10/30,11,0
2016/10/31,12,0
